Row	Locator Number	Address	Zip Code	Distance (miles)	Sale Date	Sale Price	Price Per Sq. Ft.	Sale Validity	Total Acres	Living Units / Story Height	Exterior Wall Type	Architectural Style	Year Built	Total Living Area	Basement	Bed / Total Rooms	Full / Half Baths
16	23R130248	243 Howard Dr.	63021	0.50	7/21/2021	$165,000	$130.95	I	0.3317	1 / 1	Aluminum / Vinyl	Ranch	1959	1,260	None	3 / 6	1 / 0
17	24S520832	380 Cedar Run Dr.	63021	0.66	3/26/2021	$165,000	$154.78	2	0.1757	1 / 1	Masonry and Frame	Ranch	1976	1,066	Full	3 / 6	3 / 0
18	23S240113	248 Dennison Dr.	63021	0.66	5/12/2021	$170,000	$183.78	X	0.4591	1 / 1	Aluminum / Vinyl	Ranch	1955	925	Full	3 / 6	1 / 0
19	23R230742	285 Amber Jack Dr.	63021	0.86	4/1/2022	$170,000	$147.82	2	0.2927	1 / 1	Masonry and Frame	Split Foyer	1976	1,150	Full	3 / 7	2 / 0
20	23S340525	239 Ramsey Ln.	63021	0.54	1/5/2021	$171,900	$223.82	X	0.3864	1 / 1	Aluminum / Vinyl	Ranch	1959	768	None	3 / 5	1 / 0
21	23S240113	248 Dennison Dr.	63021	0.66	9/21/2021	$172,500	$186.48	2	0.4591	1 / 1	Aluminum / Vinyl	Ranch	1955	925	Full	3 / 6	1 / 0
22	24R240339	14 Rainfield Ct.	63021	0.93	7/16/2021	$180,000	$138.88	I	0.3050	1 / 1	Frame	Split Foyer	1976	1,296	Full	4 / 8	3 / 0
23	23R420015	217 Lark Hill Ln.	63021	0.77	12/1/2022	$180,000	$129.31	I	0.6870	1 / 1	Aluminum / Vinyl	Ranch	1954	1,392	Part	3 / 6	1 / 1
24	23S240232	242 Dennison Dr.	63021	0.70	4/27/2022	$185,000	$200.00	2	0.4591	1 / 1	Aluminum / Vinyl	Ranch	1955	925	Full	3 / 6	1 / 0
25	23S340460	235 Warner Ct.	63021	0.52	5/6/2021	$185,000	$183.53	4	0.4220	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	1 / 0
26	23S340460	235 Warner Ct.	63021	0.52	4/7/2021	$185,000	$183.53	X	0.4220	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	1 / 0
27	24S630960	504 Blazedwood Dr.	63021	0.29	4/19/2021	$188,000	$168.45	2	0.1939	1 / 1	Frame	Ranch	1971	1,116	Full	3 / 7	2 / 0
28	23R110282	277 Ramsey Ln.	63021	0.37	1/13/2023	$189,500	$113.20	I	0.4148	1 / 1	Aluminum / Vinyl	Ranch	1959	1,674	None	3 / 7	1 / 0
29	24S640112	461 Ballwood Dr.	63021	0.13	8/12/2021	$190,000	$145.03	2	0.1901	1 / 1	Aluminum / Vinyl	Ranch	1973	1,310	Full	3 / 7	2 / 1
30	23R230706	13 Roland Ave.	63021	0.94	8/4/2022	$191,000	$159.16	4	0.1354	1 / 1	Aluminum / Vinyl	Ranch	1968	1,200	Full	3 / 7	2 / 0
31	23R130248	243 Howard Dr.	63021	0.50	8/24/2021	$191,750	$152.18	R	0.3317	1 / 1	Aluminum / Vinyl	Ranch	1959	1,260	None	3 / 6	1 / 0
32	23S240351	235 Old Ballwin Rd.	63021	0.72	7/30/2021	$192,000	$207.56	X	0.4591	1 / 1	Aluminum / Vinyl	Ranch	1955	925	Full	3 / 5	1 / 0
33	23S620245	220 Ramsey Ln.	63021	0.74	1/28/2021	$195,000	$210.81	X	0.4683	1 / 1	Aluminum / Vinyl	Bungalow	1956	925	Full	3 / 5	1 / 0
34	23S340020	266 Ramsey Ln.	63021	0.40	2/27/2023	$195,000	$193.45	X	0.3548	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	1 / 0
35	24R540363	894 Torino Dr.	63021	0.83	11/12/2021	$195,000	$146.06	I	0.2534	1 / 1	Masonry and Frame	Ranch	1968	1,335	Full	3 / 7	2 / 0
36	24R520462	410 Sorrento Dr.	63021	0.90	8/23/2021	$195,001	$138.39	I	0.1779	1 / 1	Aluminum / Vinyl	Split Foyer	1968	1,409	Full	3 / 7	2 / 1
37	24S611149	424 Harvest Hill Ct.	63021	0.37	10/19/2021	$196,001	$149.96	I	0.1760	1 / 1	Aluminum / Vinyl	Ranch	1983	1,307	Full	3 / 7	2 / 0
38	23S210231	259 Cedar Village Ct.	63021	0.89	2/16/2022	$198,000	$148.42	4	0.2498	1 / 1	Aluminum / Vinyl	Ranch	1974	1,334	Full	3 / 7	2 / 0
39	23S210231	259 Cedar Village Ct.	63021	0.89	2/15/2022	$198,000	$148.42	5	0.2498	1 / 1	Aluminum / Vinyl	Ranch	1974	1,334	Full	3 / 7	2 / 0
40	24R440043	118 Breezeview Dr.	63021	0.54	10/4/2021	$198,600	$109.54	I	0.2831	1 / 1	Masonry and Frame	Ranch	1968	1,813	Full	3 / 7	2 / 0
41	23S220065	621 Old Ballwin Rd.	63021	0.64	3/31/2022	$199,508	$193.32	2	0.4649	1 / 1	Aluminum / Vinyl	Ranch	1955	1,032	Full	3 / 6	2 / 0
42	24S540935	665 Lemonwood Dr.	63021	0.48	2/6/2023	$200,000	$155.76	I	0.1795	1 / 1	Aluminum / Vinyl	Ranch	1972	1,284	Full	3 / 7	2 / 0
43	23S320121	259 Ramsey Ln.	63021	0.36	9/19/2022	$200,000	$152.90	X	0.4633	1 / 1	Aluminum / Vinyl	Ranch	1959	1,308	None	3 / 5	1 / 0
44	24S630823	523 Arborwood Dr.	63021	0.36	3/5/2021	$200,000	$110.98	2	0.2112	1 / 1	Aluminum / Vinyl	Ranch	1971	1,802	Full	4 / 9	2 / 1
45	24R520646	420 Tumulty Dr.	63021	0.89	1/22/2021	$202,500	$155.76	I	0.1909	1 / 1	Aluminum / Vinyl	Ranch	1983	1,300	Full	3 / 7	2 / 0
46	24R440043	118 Breezeview Dr.	63021	0.54	8/19/2021	$205,165	$113.16	5	0.2831	1 / 1	Masonry and Frame	Ranch	1968	1,813	Full	3 / 7	2 / 0
47	24R540051	401 Sorrento Dr.	63021	0.84	11/2/2022	$207,000	$194.54	2	0.2878	1 / 1	Asbestos	Split Foyer	1967	1,064	Full	4 / 8	2 / 0
48	24S630586	525 Goldwood Dr.	63021	0.23	10/13/2021	$207,001	$158.01	I	0.2029	1 / 1	Frame	Ranch	1971	1,310	Full	3 / 8	2 / 1
49	24S510675	412 Woodrun Dr.	63021	0.87	8/10/2021	$207,500	$158.39	I	0.1864	1 / 1	Aluminum / Vinyl	Ranch	1977	1,310	Full	3 / 7	2 / 1
50	23S210253	249 Cedar Village Ct.	63021	0.90	3/10/2022	$208,000	$158.77	2	0.1954	1 / 1	Asbestos	Ranch	1974	1,310	Full	3 / 7	1 / 1
51	23S220432	304 Statewood Dr.	63021	0.50	5/31/2022	$209,000	$187.27	2	0.2290	1 / 1	Asbestos	Ranch	1970	1,116	Full	3 / 6	2 / 0
52	23R130082	284 Ramsey Ln.	63021	0.45	3/1/2022	$210,000	$162.03	X	0.4532	1 / 1	Aluminum / Vinyl	Ranch	1959	1,296	None	4 / 6	1 / 0
53	23S340451	238 Warner Ct.	63021	0.51	12/27/2021	$210,000	$208.33	X	0.3886	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	2 / 0
54	24S640332	449 Madrina Ct.	63021	0.14	9/14/2021	$210,000	$149.78	2	0.2276	1 / 1	Aluminum / Vinyl	Ranch	1975	1,402	Full	3 / 6	2 / 0
55	23S320583	443 Paula Vale Ct.	63021	0.26	1/12/2021	$210,000	$96.95	2	0.2755	1 / 2	Aluminum / Vinyl	Conventional	1977	2,166	Full	4 / 8	2 / 1
56	23R230825	26 Roland Ave.	63021	0.92	12/28/2021	$212,000	$184.66	2	0.4234	1 / 1	Masonry and Frame	Ranch	1976	1,148	Full	3 / 6	2 / 0
57	23R130303	237 Ries Rd.	63021	0.55	9/2/2022	$213,000	$165.88	X	0.3415	1 / 1	Aluminum / Vinyl	Ranch	1959	1,284	None	3 / 5	1 / 0
58	24R420995	354 Bellestri Dr.	63021	0.53	8/20/2021	$214,000	$178.63	X	0.2455	1 / 1	Aluminum / Vinyl	Split Foyer	1976	1,198	Full	3 / 7	2 / 1
59	23R130156	245 Ries Rd.	63021	0.49	7/21/2021	$215,000	$153.13	X	0.3669	1 / 1	Aluminum / Vinyl	Ranch	1959	1,404	None	3 / 6	1 / 1
60	24S540353	566 Goldwood Dr.	63021	0.46	6/22/2021	$215,000	$164.12	X	0.1795	1 / 1	Frame	Ranch	1971	1,310	Full	3 / 6	2 / 0
61	24R530537	389 Genoa Dr.	63021	0.74	11/2/2022	$215,000	$124.70	2	0.1842	1 / 1	Aluminum / Vinyl	Ranch	1969	1,724	Full	4 / 8	2 / 0
62	24S530705	715 Westglen Village Dr.	63021	0.72	9/13/2022	$217,500	$167.56	2	0.1774	1 / 1	Aluminum / Vinyl	Split Foyer	1978	1,298	Full	3 / 7	2 / 0
63	23R510022	212 Streiff Ct.	63021	0.90	2/8/2022	$217,500	$184.94	X	0.6287	1 / 1	Aluminum / Vinyl	Ranch	1953	1,176	None	3 / 6	1 / 0
64	23S340064	258 Ramsey Ln.	63021	0.40	11/18/2021	$219,000	$168.98	X	0.3317	1 / 1	Aluminum / Vinyl	Ranch	1959	1,296	None	3 / 7	1 / 0
65	23S340262	249 Howard Dr.	63021	0.45	9/30/2022	$219,000	$217.26	R	0.3317	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	1 / 0
66	24R531040	361 Messina Dr.	63021	0.58	2/1/2023	$220,000	$251.42	X	0.1778	1 / 1	Frame	Split Foyer	1969	875	Full	3 / 6	1 / 1
67	23R410014	229 Ries Rd.	63021	0.68	8/5/2022	$220,000	$208.33	X	0.4735	1 / 1	Aluminum / Vinyl	Bungalow	1929	1,056	Full	3 / 5	1 / 0
68	23R220558	290 Amber Jack Dr.	63021	0.86	11/9/2021	$220,000	$199.27	X	0.3128	1 / 1	Masonry and Frame	Split Foyer	1976	1,104	Full	3 / 6	2 / 1
69	23S520354	225 Newton Pl.	63021	0.94	10/28/2021	$220,000	$237.83	X	0.4591	1 / 1	Aluminum / Vinyl	Bungalow	1955	925	Full	3 / 5	1 / 0
70	24S610148	546 Ballwood Dr.	63021	0.30	2/15/2022	$220,000	$167.93	I	0.1904	1 / 1	Aluminum / Vinyl	Ranch	1972	1,310	Full	3 / 8	2 / 1
71	24S631082	569 Lemonwood Dr.	63021	0.33	7/13/2021	$220,000	$167.93	2	0.1795	1 / 1	Frame	Ranch	1972	1,310	Full	3 / 7	2 / 0
72	24R530885	383 Messina Dr.	63021	0.71	9/2/2021	$220,000	$251.42	X	0.1793	1 / 1	Asbestos	Split Foyer	1968	875	Full	3 / 6	2 / 0
73	24R141274	224 Valleyoak Ct.	63021	0.68	4/15/2021	$220,000	$177.70	3	0.2011	1 / 1	Aluminum / Vinyl	Ranch	1979	1,238	Full	3 / 7	3 / 0
74	23R410371	312 Essen Ln.	63021	0.77	4/9/2021	$220,000	$241.22	X	0.8356	1 / 1	Aluminum / Vinyl	Ranch	1955	912	Full	2 / 6	1 / 0
75	24S541200	346 Towerwood Dr.	63021	0.59	9/6/2022	$221,000	$139.69	2	0.1750	1 / 1	Aluminum / Vinyl	Split Foyer	1973	1,582	Full	4 / 8	1 / 1
76	23R410555	324 Rasch Ct.	63021	0.82	3/22/2021	$222,000	$185.00	X	0.3786	1 / 1	Masonry and Frame	Ranch	1954	1,200	Full	3 / 7	2 / 0
77	24S620268	433 Briarhill Ct.	63021	0.27	7/12/2021	$222,000	$176.19	X	0.2969	1 / 1.5	Aluminum / Vinyl	Contemporary	1973	1,260	None	3 / 6	2 / 0
78	23S310078	585 Golfwood Dr.	63021	0.43	2/11/2022	$224,000	$210.52	2	0.2095	1 / 1	Aluminum / Vinyl	Ranch	1971	1,064	Full	3 / 5	1 / 1
79	23S340424	238 Ramsey Ln.	63021	0.52	4/12/2022	$225,000	$161.63	X	0.3590	1 / 1	Aluminum / Vinyl	Ranch	1959	1,392	None	3 / 6	1 / 0
80	23R130404	232 Howard Dr.	63021	0.58	9/22/2022	$225,000	$223.21	2	0.3147	1 / 1	Aluminum / Vinyl	Ranch	1959	1,008	None	3 / 5	1 / 0
81	24S540825	622 Lemonwood Dr.	63021	0.42	6/17/2021	$225,000	$153.47	I	0.1874	1 / 1	Aluminum / Vinyl	Ranch	1972	1,466	Full	3 / 6	2 / 0
82	23S320187	271 Ramsey Ln.	63021	0.36	9/28/2021	$225,000	$158.89	X	0.3903	1 / 1	Aluminum / Vinyl	Ranch	1959	1,416	None	3 / 7	1 / 0
83	24R430309	413 Holly Garden Ct.	63021	0.29	8/16/2021	$225,000	$110.29	I	0.1793	1 / 2	Frame	Conventional	1983	2,040	Full	4 / 9	2 / 2
84	23S330472	234 St Marys Dr.	63021	0.69	4/23/2021	$225,000	$184.72	X	0.3779	1 / 1	Masonry and Frame	Ranch	1961	1,218	Full	3 / 6	2 / 0
85	23S340112	250 Ramsey Ln.	63021	0.42	9/14/2022	$227,500	$138.88	X	0.3163	1 / 1	Aluminum / Vinyl	Ranch	1959	1,638	None	3 / 7	1 / 1
86	24R421233	165 Tortuna Dr.	63021	0.48	11/23/2021	$228,000	$175.92	X	0.2247	1 / 1	Frame	Split Foyer	1976	1,296	Full	4 / 8	3 / 0
87	24S630377	544 Goldwood Dr.	63021	0.34	12/20/2021	$229,000	$258.46	X	0.1722	1 / 1	Masonry and Frame	Split Foyer	1971	886	Full	3 / 7	2 / 0
88	23S340152	409 Bush Dr.	63021	0.43	10/14/2021	$230,000	$140.07	X	0.3960	1 / 1	Aluminum / Vinyl	Ranch	1959	1,642	None	3 / 7	1 / 0
89	24R140578	1005 Shadowoak Dr.	63021	0.71	4/4/2022	$230,000	$197.08	I	0.3843	1 / 1	Masonry and Frame	Ranch	1977	1,167	Full	3 / 6	3 / 0
90	23S310584	511 Blazedwood Dr.	63021	0.32	5/2/2022	$230,000	$138.38	2	0.1997	1 / 1	Aluminum / Vinyl	Ranch	1971	1,662	Full	3 / 7	2 / 0
91	23R420060	219 Lark Hill Ln.	63021	0.75	3/16/2021	$230,000	$165.22	X	0.7151	1 / 1	Aluminum / Vinyl	Ranch	1955	1,392	Full	3 / 7	2 / 0
92	24R520646	420 Tumulty Dr.	63021	0.89	3/2/2021	$230,000	$176.92	2	0.1909	1 / 1	Aluminum / Vinyl	Ranch	1983	1,300	Full	3 / 7	2 / 0
93	24R141045	214 Shadyoak Dr.	63021	0.63	7/30/2021	$230,000	$164.87	X	0.1873	1 / 1	Frame	Ranch	1980	1,395	Full	3 / 6	2 / 0
94	24S520731	676 Walnut Point Ct.	63021	0.55	9/28/2021	$230,000	$184.44	X	0.1793	1 / 1	Asbestos	Split Foyer	1976	1,247	Full	3 / 7	1 / 1
95	24S541013	679 Turfwood Dr.	63021	0.63	5/14/2021	$230,000	$192.30	X	0.2347	1 / 1	Asbestos	Ranch	1973	1,196	Full	3 / 6	2 / 0
96	24R210547	1118 Twistedoak Ct.	63021	0.93	8/10/2021	$232,000	$201.73	I	0.1745	1 / 1	Aluminum / Vinyl	Split Foyer	1979	1,150	Full	3 / 7	3 / 0
97	24S540412	318 Statewood Dr.	63021	0.52	1/15/2021	$233,500	$209.60	X	0.2000	1 / 1	Aluminum / Vinyl	Ranch	1971	1,114	Full	3 / 6	2 / 0
98	24S521015	687 Woodrun Ct.	63021	0.64	1/26/2021	$235,000	$178.03	X	0.1896	1 / 1	Asbestos	Ranch	1975	1,320	Full	3 / 6	2 / 0
99	24R440704	342 Novara Dr.	63021	0.44	2/23/2021	$235,000	$202.93	X	0.1835	1 / 1	Asbestos	Ranch	1971	1,158	Full	3 / 7	2 / 0
100	24S330606	642 Clear Creek Ct.	63021	0.66	3/18/2021	$235,000	$207.59	X	0.1944	1 / 1	Masonry and Frame	Ranch	1978	1,132	Full	3 / 5	1 / 1
101	23R130385	236 Howard Dr.	63021	0.57	4/8/2022	$235,000	$150.64	X	0.4493	1 / 1	Aluminum / Vinyl	Ranch	1959	1,560	None	4 / 8	1 / 0
102	23S240306	238 Nancy Pl.	63021	0.79	10/31/2022	$235,000	$254.05	X	0.4903	1 / 1	Aluminum / Vinyl	Ranch	1955	925	Full	3 / 5	1 / 0
103	24R240191	311 Brightfield Dr.	63021	0.88	12/28/2022	$235,000	$220.86	X	0.1874	1 / 1	Aluminum / Vinyl	Ranch	1975	1,064	Full	3 / 6	2 / 0
104	24S530035	320 New Ballwin Rd.	63021	0.68	2/1/2021	$236,400	$197.65	X	0.2381	1 / 1	Aluminum / Vinyl	Ranch	1974	1,196	Full	3 / 5	2 / 1
105	24S440286	805 Forest Village Dr.	63021	0.94	11/18/2021	$238,500	$90.51	I	0.2201	1 / 1.5	Aluminum / Vinyl	Conventional	1976	2,635	Full	4 / 8	2 / 0
106	23R420822	303 Essen Ln.	63021	0.83	9/14/2022	$239,000	$262.06	X	0.3010	1 / 1	Aluminum / Vinyl	Ranch	1955	912	Full	3 / 5	1 / 0
107	24S520597	687 Walnut Point Ct.	63021	0.63	8/12/2022	$239,000	$177.43	I	0.2118	1 / 1	Aluminum / Vinyl	Ranch	1975	1,347	Full	3 / 7	2 / 0
108	24R230163	306 Oakfield Dr.	63021	0.77	9/7/2022	$240,000	$207.97	I	0.1793	1 / 1	Aluminum / Vinyl	Ranch	1975	1,154	Full	3 / 8	1 / 1
109	24R420629	937 Parma Dr.	63021	0.45	8/6/2021	$240,000	$225.56	X	0.3238	1 / 1	Aluminum / Vinyl	Ranch	1976	1,064	Full	3 / 7	2 / 0
110	24R540318	884 Torino Dr.	63021	0.83	9/29/2021	$240,000	$227.27	X	0.1779	1 / 1	Aluminum / Vinyl	Split Foyer	1968	1,056	Full	4 / 7	2 / 0
111	23R230302	128 Brookside Ln.	63021	0.81	8/30/2021	$240,000	$263.15	X	0.8369	1 / 1	Aluminum / Vinyl	Bungalow	1954	912	Full	3 / 6	1 / 0
112	23R510150	433 Fairview Ct.	63021	0.94	1/11/2021	$241,000	$232.62	X	0.1722	1 / 1	Masonry and Frame	Split Foyer	1968	1,036	Full	4 / 5	2 / 0
113	24R530472	394 Genoa Dr.	63021	0.77	10/6/2021	$241,000	$163.38	X	0.1876	1 / 1	Aluminum / Vinyl	Split Foyer	1968	1,475	Full	4 / 7	2 / 1
114	24R431083	340 Ries Rd.	63021	0.12	4/22/2022	$241,000	$165.86	X	0.5005	1 / 1	Masonry and Frame	Ranch	1963	1,453	None	3 / 6	1 / 1
115	23S620135	443 Bush Dr.	63021	0.69	5/26/2021	$241,500	$261.08	X	0.5752	1 / 1	Aluminum / Vinyl	Bungalow	1956	925	Full	3 / 6	1 / 0
116	24S541211	340 Towerwood Dr.	63021	0.58	9/3/2021	$242,500	$199.42	X	0.2315	1 / 1	Aluminum / Vinyl	Split Foyer	1973	1,216	Full	3 / 5	1 / 1
117	23R230760	281 Amber Jack Dr.	63021	0.88	10/28/2021	$244,001	$211.43	X	0.2927	1 / 1	Masonry and Frame	Split Foyer	1975	1,154	Full	3 / 7	2 / 1
118	24R440043	118 Breezeview Dr.	63021	0.54	12/6/2021	$245,000	$135.13	R	0.2831	1 / 1	Masonry and Frame	Ranch	1968	1,813	Full	3 / 7	2 / 0
119	24R530876	385 Messina Dr.	63021	0.72	1/20/2022	$245,000	$161.18	X	0.1793	1 / 1	Aluminum / Vinyl	Ranch	1968	1,520	Full	2 / 6	1 / 1
120	24S540935	665 Lemonwood Dr.	63021	0.48	2/6/2023	$245,000	$190.80	R	0.1795	1 / 1	Aluminum / Vinyl	Ranch	1972	1,284	Full	3 / 7	2 / 0
121	24R441033	329 Palermo Dr.	63021	0.43	8/5/2021	$245,000	$180.54	I	0.1876	1 / 1	Asbestos	Ranch	1972	1,357	Full	3 / 6	2 / 0
122	24S630201	543 Golfwood Dr.	63021	0.19	3/2/2021	$245,000	$187.02	X	0.1998	1 / 1	Asbestos	Ranch	1972	1,310	Full	3 / 7	2 / 0
123	24R420353	329 Bellezza Dr.	63021	0.45	10/1/2021	$245,500	$192.70	X	0.1961	1 / 1.5	Aluminum / Vinyl	Conventional	1972	1,274	Full	3 / 6	1 / 1
124	24R530766	388 Messina Dr.	63021	0.75	6/3/2021	$247,500	$174.41	X	0.2446	1 / 1	Frame	Split Foyer	1969	1,419	Full	3 / 7	2 / 1
125	23S620180	222 Ramsey Ln.	63021	0.72	9/9/2021	$250,000	$217.58	X	0.4605	1 / 1	Aluminum / Vinyl	Bungalow	1956	1,149	Full	3 / 6	1 / 0
126	24R420720	938 Bellestri Dr.	63021	0.58	8/30/2021	$250,000	$211.14	X	0.2457	1 / 1	Frame	Split Foyer	1977	1,184	Full	3 / 6	2 / 1
127	24S330352	620 Hickory Knoll Ct.	63021	0.52	2/26/2021	$250,000	$209.03	X	0.1717	1 / 1	Frame	Ranch	1978	1,196	Full	3 / 7	2 / 0
128	23S220717	620 Old Ballwin Rd.	63021	0.59	3/8/2021	$250,000	$168.35	X	0.3669	1 / 1	Masonry and Frame	Ranch	1976	1,485	Full	3 / 7	2 / 1
129	23S120185	285 Village Creek Dr.	63021	0.92	1/19/2022	$250,000	$194.70	X	0.1928	1 / 1	Aluminum / Vinyl	Ranch	1974	1,284	Full	3 / 6	2 / 0
130	24S340432	555 Vernal Hill Ct.	63021	0.45	3/31/2022	$250,000	$197.78	X	0.4200	1 / 1	Aluminum / Vinyl	Split Foyer	1984	1,264	Full	3 / 6	2 / 1
131	23R110062	348 Ries Bend Rd.	63021	0.34	11/18/2021	$250,000	$205.76	X	0.2947	1 / 1	Brick	Ranch	1968	1,215	None	3 / 5	1 / 1
132	24S440286	805 Forest Village Dr.	63021	0.94	11/18/2021	$250,000	$94.87	8	0.2201	1 / 1.5	Aluminum / Vinyl	Conventional	1976	2,635	Full	4 / 8	2 / 0
133	24S440286	805 Forest Village Dr.	63021	0.94	11/18/2021	$250,000	$94.87	8	0.2201	1 / 1.5	Aluminum / Vinyl	Conventional	1976	2,635	Full	4 / 8	2 / 0
134	23R420181	210 Lark Hill Ln.	63021	0.86	12/14/2021	$251,000	$258.23	X	0.5022	1 / 1	Aluminum / Vinyl	Ranch	1953	972	Full	3 / 6	2 / 0
135	24R421022	342 Bellestri Dr.	63021	0.49	12/27/2021	$253,000	$212.96	X	0.1779	1 / 1	Aluminum / Vinyl	Split Foyer	1976	1,188	Full	3 / 6	2 / 1
136	23S610950	131 St Marys Dr.	63021	0.77	2/25/2021	$253,000	$158.81	X	0.2068	1 / 2	Aluminum / Vinyl	Conventional	1996	1,593	Full	3 / 6	2 / 1
137	24R140853	1112 Hollyberry Dr.	63021	0.60	11/15/2021	$254,000	$183.92	X	0.2238	1 / 1	Aluminum / Vinyl	Split Foyer	1978	1,381	Full	3 / 6	3 / 0
138	24S540045	691 Twigwood Dr.	63021	0.64	5/4/2022	$254,075	$184.91	R	0.1998	1 / 1	Aluminum / Vinyl	Ranch	1974	1,374	Full	3 / 7	2 / 0
139	24S520894	677 Cedar Run Dr.	63021	0.59	4/5/2022	$255,000	$239.21	X	0.1928	1 / 1	Asbestos	Ranch	1976	1,066	Full	3 / 6	2 / 0
140	24R420986	927 Bellestri Dr.	63021	0.53	10/26/2021	$255,000	$214.64	X	0.1822	1 / 1	Aluminum / Vinyl	Split Foyer	1976	1,188	Full	4 / 7	2 / 1
141	24R540602	4 Braquewood Ct.	63021	0.87	1/11/2021	$255,000	$235.67	X	0.2211	1 / 1	Aluminum / Vinyl	Split Foyer	1974	1,082	Full	3 / 6	2 / 0
142	24S530486	343 Village Creek Dr.	63021	0.85	8/18/2021	$255,000	$216.83	X	0.1694	1 / 1	Asbestos	Split Foyer	1974	1,176	Full	3 / 6	2 / 0
143	24S630652	506 Arborwood Dr.	63021	0.26	8/6/2021	$255,000	$227.67	X	0.2000	1 / 1	Aluminum / Vinyl	Ranch	1971	1,120	Full	3 / 7	1 / 1
144	24S530079	323 Turfwood Dr.	63021	0.64	7/7/2021	$255,000	$216.83	X	0.1795	1 / 1	Aluminum / Vinyl	Split Foyer	1973	1,176	Full	3 / 5	2 / 0
145	23S520411	211 Old Ballwin Rd.	63021	0.92	7/27/2021	$255,000	$268.42	X	0.4591	1 / 1	Aluminum / Vinyl	Ranch	1955	950	Full	3 / 7	1 / 0
146	24R141018	226 Shadyoak Dr.	63021	0.66	4/22/2021	$256,000	$206.78	X	0.1873	1 / 1	Frame	Ranch	1980	1,238	Full	3 / 6	2 / 0
147	24R420537	351 Palermo Dr.	63021	0.52	7/25/2022	$258,000	$184.94	X	0.1961	1 / 1	Asbestos	Ranch	1972	1,395	Full	3 / 7	2 / 0
148	24S240103	691 Rustic Valley Dr.	63021	0.71	12/29/2021	$259,000	$183.16	X	0.1951	1 / 1	Masonry and Frame	Ranch	1976	1,414	Full	3 / 9	2 / 0
149	23S220120	626 Dennison Dr.	63021	0.69	9/15/2022	$259,500	$182.10	X	0.4649	1 / 1	Aluminum / Vinyl	Ranch	1955	1,425	Full	3 / 6	2 / 0
150	24S640387	433 Madrina Ct.	63021	0.10	5/3/2021	$259,900	$199.92	X	0.1865	1 / 1	Aluminum / Vinyl	Ranch	1973	1,300	Full	3 / 6	2 / 0
151	24S630663	508 Arborwood Dr.	63021	0.27	7/30/2021	$260,000	$226.48	X	0.1750	1 / 1	Aluminum / Vinyl	Ranch	1971	1,148	Full	3 / 9	1 / 1
152	24S631026	564 Golfwood Dr.	63021	0.29	8/10/2021	$260,000	$198.47	X	0.1960	1 / 1	Aluminum / Vinyl	Ranch	1971	1,310	Full	3 / 6	2 / 0
153	24S440101	818 Westglen Village Dr.	63021	0.92	9/14/2021	$260,000	$192.59	X	0.2041	1 / 1	Aluminum / Vinyl	Ranch	1974	1,350	Full	3 / 7	2 / 0
154	23S240416	234 Dennison Dr.	63021	0.76	10/1/2021	$260,000	$281.08	X	0.5309	1 / 1	Aluminum / Vinyl	Ranch	1955	925	Full	3 / 6	1 / 0
155	24R510223	372 Novara Dr.	63021	0.64	3/4/2021	$260,000	$189.78	X	0.1961	1 / 1	Aluminum / Vinyl	Ranch	1972	1,370	Full	3 / 7	2 / 0
156	24R520408	414 Sorrento Dr.	63021	0.93	2/3/2021	$260,000	$178.57	X	0.1779	1 / 1	Aluminum / Vinyl	Split Foyer	1967	1,456	Full	3 / 8	2 / 1
157	24R530931	373 Messina Dr.	63021	0.65	9/27/2022	$260,000	$238.09	X	0.1793	1 / 1	Aluminum / Vinyl	Split Foyer	1969	1,092	Full	4 / 7	2 / 0
158	24S330835	651 Clear Creek Ct.	63021	0.63	11/14/2022	$260,000	$217.39	2	0.1832	1 / 1	Asbestos	Ranch	1978	1,196	Full	3 / 6	2 / 0
159	24R210529	1110 Twistedoak Ct.	63021	0.91	10/7/2021	$260,000	$200.77	I	0.1873	1 / 1	Aluminum / Vinyl	Split Foyer	1978	1,295	Full	3 / 6	3 / 0
160	23R211093	297 Amber Jack Dr.	63021	0.80	6/17/2021	$260,525	$121.06	I	0.3056	1 / 2	Masonry and Frame	Old Style	1974	2,152	Full	4 / 8	2 / 1
161	23R220778	316 Reindeer Dr.	63021	0.91	9/27/2021	$261,000	$198.02	X	0.1755	1 / 1	Frame	Split Level	1984	1,318	Full	3 / 6	2 / 0
162	24S640761	421 Talbert Ct.	63021	0.00	1/22/2021	$261,000	$193.33	X	0.2571	1 / 1	Aluminum / Vinyl	Ranch	1983	1,350	Full	3 / 6	2 / 0
163	24S340043	468 Applestone Dr.	63021	0.33	4/14/2021	$262,000	$194.94	X	0.5624	1 / 1	Aluminum / Vinyl	Ranch	1970	1,344	Full	3 / 8	2 / 0
