Row	Locator Number	Address	Zip Code	Distance (miles)	Sale Date	Sale Price	Price Per Sq. Ft.	Sale Validity	Total Acres	Living Units / Story Height	Exterior Wall Type	Architectural Style	Year Built	Total Living Area	Basement	Bed / Total Rooms	Full / Half Baths
396	24R241668	1024 Oak Glen Cir.	63021	0.94	9/16/2022	$387,500	$191.73	X	0.2642	1 / 1	Aluminum / Vinyl	Cape Cod	1988	2,021	Full	3 / 6	2 / 0
397	24R140578	1005 Shadowoak Dr.	63021	0.71	6/1/2022	$390,000	$334.19	X	0.3843	1 / 1	Masonry and Frame	Ranch	1977	1,167	Full	3 / 6	3 / 0
398	24R430693	105 Tara Ridge Ct.	63021	0.13	5/6/2022	$390,000	$203.97	X	0.2430	1 / 2	Aluminum / Vinyl	Conventional	1980	1,912	Full	4 / 8	2 / 1
399	24R230815	457 Oak Glen Dr.	63021	0.93	3/22/2022	$394,000	$192.00	X	0.1389	1 / 2	Aluminum / Vinyl	Conventional	1988	2,052	Full	4 / 7	2 / 1
400	24S310521	511 Oak Commons Dr.	63021	0.70	9/16/2021	$398,000	$181.90	X	0.2600	1 / 2	Aluminum / Vinyl	Conventional	1989	2,188	Full	4 / 9	2 / 1
401	23S220881	347 Fox Den Dr.	63021	0.69	5/25/2021	$400,000	$163.13	X	0.2697	1 / 2	Masonry and Frame	Conventional	1985	2,452	Full	3 / 8	2 / 1
402	24S310833	429 Arbor Meadow Ct.	63021	0.78	7/6/2021	$400,000	$206.18	X	0.2571	1 / 1	Aluminum / Vinyl	Ranch	1993	1,940	Full	3 / 6	2 / 0
403	24R130210	1025 Hollybend Dr.	63021	0.52	4/25/2022	$400,000	$287.35	X	0.2199	1 / 1	Frame	Split Foyer	1977	1,392	Full	4 / 8	3 / 0
404	24S240974	674 Rustic Valley Dr.	63021	0.66	4/1/2022	$400,000	$166.32	4	0.2979	1 / 1.5	Asbestos	Conventional	1975	2,405	Full	5 / 10	2 / 1
405	24S511038	728 Trago Creek Dr.	63021	0.77	10/25/2022	$400,000	$211.75	X	0.1944	1 / 2	Masonry and Frame	Conventional	1991	1,889	Full	4 / 9	2 / 1
406	24S211596	711 Whispering Forest Dr.	63021	0.94	5/12/2021	$403,000	$172.00	X	0.1722	1 / 2	Aluminum / Vinyl	Conventional	1999	2,343	Full	4 / 9	3 / 1
407	24S640622	432 Talbert Ct.	63021	0.05	4/20/2022	$406,000	$294.20	X	0.2684	1 / 1	Aluminum / Vinyl	Ranch	1984	1,380	Full	3 / 7	2 / 1
408	24R410518	929 Shandra Dr.	63021	0.37	8/24/2022	$407,000	$211.31	X	0.1804	1 / 2	Aluminum / Vinyl	Conventional	1988	1,926	Full	4 / 8	2 / 1
409	24S331056	606 Rustic Valley Dr.	63021	0.46	7/11/2022	$408,000	$218.88	2	0.1873	1 / 2	Aluminum / Vinyl	Conventional	1982	1,864	Full	4 / 9	2 / 1
410	24S440286	805 Forest Village Dr.	63021	0.94	5/9/2022	$408,000	$154.83	X	0.2201	1 / 1.5	Aluminum / Vinyl	Conventional	1976	2,635	Full	4 / 8	2 / 0
411	23S320396	457 Melanie Meadows Ln.	63021	0.34	6/21/2021	$410,000	$177.64	X	0.2351	1 / 2	Aluminum / Vinyl	Conventional	1979	2,308	Full	4 / 8	2 / 1
412	24R121117	271 Arbor Trails Dr.	63021	0.81	8/3/2021	$410,000	$168.03	X	0.1639	1 / 2	Aluminum / Vinyl	Conventional	2001	2,440	Full	4 / 8	2 / 2
413	24R230750	1059 Oak Glen Cir.	63021	0.90	10/19/2022	$411,000	$201.27	X	0.2204	1 / 2	Aluminum / Vinyl	Conventional	1988	2,042	Full	4 / 9	2 / 2
414	24R241732	1001 Oak Glen Cir.	63021	0.94	11/1/2022	$415,000	$251.36	X	0.1465	1 / 1	Aluminum / Vinyl	Ranch	1988	1,651	Full	3 / 6	3 / 1
415	24S230414	508 Oakton Ridge Ct.	63021	0.93	8/17/2022	$415,000	$173.64	X	0.1894	1 / 2	Aluminum / Vinyl	Conventional	1981	2,390	Full	5 / 10	2 / 1
416	24R121025	239 Arbor Trails Dr.	63021	0.86	5/17/2021	$415,000	$147.16	X	0.1708	1 / 2	Aluminum / Vinyl	Conventional	2002	2,820	Full	4 / 8	2 / 1
417	24R440043	118 Breezeview Dr.	63021	0.54	7/28/2022	$418,500	$230.83	X	0.2831	1 / 1	Masonry and Frame	Ranch	1968	1,813	Full	3 / 7	2 / 0
418	24S511049	732 Trago Creek Dr.	63021	0.79	3/17/2021	$420,000	$186.83	X	0.2256	1 / 2	Masonry and Frame	Conventional	1990	2,248	Full	4 / 8	3 / 1
